category_url,category_url_clean,page,handle,name,app_url,icon_url,rating,review_count,has_free_plan_text,pricing_text,short_description,built_for_shopify,is_ad,scraped_at
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,product-filter-and-search,Smart Product Filter & Search,https://apps.shopify.com/product-filter-and-search,https://cdn.shopify.com/app-store/listing_images/f44b43e81ef89598c0de05c8ea6dcf80/icon/CIe83cL0lu8CEAE=.png,4.9,2144,True,Free plan available,Boost sales with AI semantic search and instant filters,True,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,findter-custom-filter-search,Findter Custom Filter & Search,https://apps.shopify.com/findter-custom-filter-search,https://cdn.shopify.com/app-store/listing_images/393b6ef120968ea1931a5ec86b58d041/icon/CIr75oPv944DEAE=.png,5.0,132,False,Free,"Better collection filters, product filter, search & analytics",False,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,searchanise,Searchanise Search & Filter,https://apps.shopify.com/searchanise,https://cdn.shopify.com/app-store/listing_images/543e5094f4dc166bd6de54ff98c7e80e/icon/CPTl8uCS3v0CEAE=.png,4.8,1206,True,Free plan available,Increase sales with smart search result pages & custom filters,False,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,search-and-discovery,Shopify Search & Discovery,https://apps.shopify.com/search-and-discovery,https://cdn.shopify.com/app-store/listing_images/6bac79c21731e1e8e59b127c6213010a/icon/CM_yj4Kah4ADEAE=.png,3.3,464,False,Free,Customize your storefront search and discovery experience,False,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,cloudsearch,XCloud Search & Product Filter,https://apps.shopify.com/cloudsearch,https://cdn.shopify.com/app-store/listing_images/d19d722c35711ba56241cdaf7e68631c/icon/CPW4lMj0lu8CEAE=.png,4.9,529,False,Free to install,Supercharge browsing with smart search bar & collection filter,True,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,easysearch,Year Make Model ‑ EasySearch,https://apps.shopify.com/easysearch,https://cdn.shopify.com/app-store/listing_images/edaef6646310a2450df399018572ef92/icon/CLjM7sqc_v0CEAE=.png,4.8,140,False,Free trial available,Year Make Model Search that enhances UX and store efficiency,True,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,rapid-search,RS: AI Search Bar & Filter,https://apps.shopify.com/rapid-search,https://cdn.shopify.com/app-store/listing_images/783115f7f0a0396e05f1baab9b276204/icon/CJi7mYz9kIsDEAE=.png,4.8,350,True,Free plan available,"Add AI Search Bar, Product Filters & Collection Filters",True,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,prefixbox-search,Prefixbox AI Search & Filter,https://apps.shopify.com/prefixbox-search,https://cdn.shopify.com/app-store/listing_images/b36cc5d077996599dd118052f2926ed6/icon/CKGpppGh14IDEAE=.png,5.0,61,True,Free plan available,AI search with filters & AI chat to enhance product discovery,True,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,shopping-assistant-by-shoplyai,Shoply AI Search & AI Chatbot,https://apps.shopify.com/shopping-assistant-by-shoplyai,https://cdn.shopify.com/app-store/listing_images/04ee9ca80ebaffc73b499b9fa4f88c39/icon/CJbql5K5zIsDEAE=.png,5.0,28,True,Free plan available,Product Expert & Customer Support powered by ChatGPT + Search,True,False,2026-05-03T01:49:22.854848Z
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,asktimmy-ai,AskTimmy AI Chat Bot AI Search,https://apps.shopify.com/asktimmy-ai,https://cdn.shopify.com/app-store/listing_images/69e487eeda538c3cc002c81326eccf5c/icon/CIv0soDcy4YDEAE=.png,5.0,28,True,Free plan available,AI ChatBot for Customer Support FAQ Helpdesk Search Discovery,True,False,2026-05-03T01:49:22.854848Z
